CUSTOMER_NUMBER,TIME_ID,BAD,GOOD,GB,ACTIVITY_M_NO,ACTIVITY_M_DATE,ACTIVITY_M_WDAY,ACTIVITY_M_HOUR,ACTIVITY_M_NAME,ACTIVITY_NO,ACTIVITY_DATE,ACTIVITY_WDAY,ACTIVITY_HOUR,ACTIVITY_NAME
794297,1,0,1,G,24,4,4,6,7,57,6,5,10,9
324563,1,0,1,G,30,5,3,5,4,45,5,3,6,6
607852,1,0,1,G,230,20,7,36,6,335,20,7,42,9
427375,1,1,0,B,0,0,0,1,0,0,0,0,1,0
822421,1,0,1,G,132,18,7,31,6,225,18,7,37,8
254523,1,0,1,G,19,3,3,3,3,28,3,3,3,5
147604,1,0,1,G,97,13,7,27,5,191,13,7,33,8
116907,1,0,1,G,37,3,2,6,7,58,3,2,9,9
795608,1,0,1,G,16,3,2,4,3,28,3,2,5,5
214456,1,0,1,G,72,12,5,15,3,117,12,5,16,6
764817,1,0,1,G,181,8,6,14,5,242,8,6,14,8
599683,1,0,1,G,43,5,4,6,4,72,6,5,9,7
466886,1,0,1,G,65,8,5,15,5,113,8,5,16,7
821110,1,0,1,G,91,15,7,18,7,149,15,7,20,10
770750,1,0,1,G,28,5,5,5,5,46,5,5,5,8
557576,1,0,1,G,124,11,7,21,9,211,12,7,29,14
319002,1,0,1,G,267,21,7,41,7,426,21,7,41,10
209789,1,0,1,G,47,6,5,9,6,76,6,5,11,10
474657,1,0,1,G,55,7,3,10,5,88,7,3,14,8
508925,1,0,1,G,526,22,7,54,5,681,22,7,63,10
78125,1,0,1,G,244,15,7,29,9,373,15,7,33,13
7082,1,0,1,G,134,6,4,8,4,158,6,4,11,9
237919,1,0,1,G,70,12,6,15,9,133,12,6,16,15
406641,1,0,1,G,53,2,2,4,7,78,2,2,5,11
573322,1,0,1,G,3,2,2,2,2,7,3,3,3,4
621523,1,0,1,G,106,5,5,11,5,147,5,5,16,8
972362,1,0,1,G,8,3,3,3,1,15,4,4,4,3
376989,1,1,0,B,24,1,1,3,7,42,1,1,3,12
840347,1,0,1,G,104,3,3,8,4,132,3,3,9,9
39055,1,0,1,G,85,11,5,19,8,141,11,5,23,11
750797,1,1,0,B,22,5,5,6,5,39,5,5,6,10
211779,1,0,1,G,198,7,5,9,7,244,7,5,11,11
208879,1,0,1,G,46,6,3,10,6,75,6,3,11,10
324759,1,0,1,G,108,6,5,8,9,136,6,5,8,12
627405,1,0,1,G,34,3,3,3,5,47,3,3,3,8
958556,1,0,1,G,152,13,6,20,7,218,13,6,21,11
703677,1,0,1,G,64,10,7,15,7,115,10,7,22,10
250994,1,0,1,G,80,7,6,15,5,143,7,6,15,8
