CUSTOMER_NUMBER,TIME_ID,BAD,GOOD,GB,TRANS_NO,TRANS_AMT_MAX,TRANS_AMT_MIN,TRANS_AMT_SUM,TRANS_AMT_AVG,TRANS_DATE,TRANS_WDAY,TRANS_HOUR,TRANS_LV1_TYPE,TRANS_LV2_TYPE
794297,1,0,1,G,1,50000,50000,50000,50000,1,1,1,1,1
324563,1,0,1,G,2,3000000,110000,3110000,1555000,2,2,2,1,1
607852,1,0,1,G,12,2300000,27500,4879500,467850,9,6,10,1,2
427375,1,1,0,B,0,0,0,0,0,0,0,1,0,0
822421,1,0,1,G,8,50000000,100000,140420000,17552500,7,6,8,2,2
254523,1,0,1,G,0,0,0,0,0,0,0,1,0,0
147604,1,0,1,G,4,250000,100500,601000,166833.3333,3,3,3,1,2
116907,1,0,1,G,2,20000000,10000000,30000000,15000000,2,2,2,1,2
795608,1,0,1,G,0,0,0,0,0,0,0,1,0,0
214456,1,0,1,G,1,3400000,3400000,3400000,3400000,1,1,1,1,1
764817,1,0,1,G,2,10000000,10000000,20000000,10000000,1,1,2,1,1
599683,1,0,1,G,1,30000,30000,30000,30000,1,1,1,1,1
466886,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
821110,1,0,1,G,9,13800000,100000,43050000,4783333.333,9,6,9,2,2
770750,1,0,1,G,1,10000,10000,10000,10000,1,1,1,1,1
557576,1,0,1,G,5,300000,20000,380000,76000,5,4,5,2,2
319002,1,0,1,G,8,20000,10000,130000,15714.28571,7,6,7,1,1
209789,1,0,1,G,3,7000000,600000,9840000,3280000,3,3,3,1,1
474657,1,0,1,G,1,600000,600000,600000,600000,1,1,1,1,1
508925,1,0,1,G,6,500000,50000,970000,161666.6667,4,4,6,1,1
78125,1,0,1,G,7,400000,10000,520000,74285.71429,6,4,7,2,2
7082,1,0,1,G,5,100000,10000,260000,52000,5,4,5,1,1
237919,1,0,1,G,7,8300000,50000,11660000,1934166.667,6,4,6,2,3
406641,1,0,1,G,4,50000000,5000000,92000000,23000000,2,2,4,1,2
573322,1,0,1,G,1,8600000,8600000,8600000,8600000,1,1,1,1,1
621523,1,0,1,G,1,820000,820000,820000,820000,1,1,1,1,1
972362,1,0,1,G,1,899000,899000,899000,899000,1,1,1,1,1
376989,1,1,0,B,1,8790000,8790000,8790000,8790000,1,1,1,1,1
840347,1,0,1,G,5,382400,20000,1266000,167066.6667,1,1,3,1,1
39055,1,0,1,G,12,500000,20000,2132000,177666.6667,6,4,10,2,4
750797,1,1,0,B,3,50000000,50000000,150000000,50000000,3,3,3,1,1
211779,1,0,1,G,1,5000000,5000000,5000000,5000000,1,1,1,1,1
208879,1,0,1,G,8,1500000,300000,8550000,1119444.444,5,3,6,1,1
324759,1,0,1,G,1,335000,335000,335000,335000,1,1,1,1,1
627405,1,0,1,G,3,300000,100000,500000,200000,2,2,2,2,2
958556,1,0,1,G,4,50000000,100000,56200000,17716666.67,3,2,3,2,2
703677,1,0,1,G,9,10000000,200000,52500000,5833333.333,7,6,9,2,3
250994,1,0,1,G,6,19700000,2200000,89610000,12602500,2,2,4,1,1
885618,1,0,1,G,3,1750000,299000,2970000,990000,3,2,3,1,1
431012,1,0,1,G,1,300000,300000,300000,300000,1,1,1,1,1
794979,1,0,1,G,1,1000000,1000000,1000000,1000000,1,1,1,1,1
