CUSTOMER_NUMBER,BAD,GOOD,GB,DEMO_GENDER,DEMO_AGE,DEMO_STAFF_VIB,APP_CIF_AGE,APP_IB_AGE,APP_DATEDIFF_CIF_IB,APP_EB_REGISTER_CHANNEL,APP_SMS,APP_VERIFY_METHOD
614833,0,1,G,M,25,N,87,87,0,BRANCH,Y,SMART_OTP
472117,0,1,G,F,41,N,86,86,0,BRANCH,Y,SMART_OTP
457295,1,0,B,M,22,N,86,86,0,BRANCH,Y,SMART_OTP
894099,0,1,G,M,34,N,86,86,0,BRANCH,Y,SMS
745841,0,1,G,F,19,N,87,87,0,BRANCH,N,SMS
449668,0,1,G,F,20,N,80,80,0,BRANCH,N,SMART_OTP
254523,0,1,G,F,25,N,75,60,15,MYVIB,Y,SMS
412861,0,1,G,F,27,N,44,44,0,BRANCH,Y,SMS
627163,0,1,G,M,31,N,26,19,7,BRANCH,N,SMART_OTP
25707,0,1,G,M,25,N,88,88,0,BRANCH,Y,SMART_OTP
600433,0,1,G,M,27,N,78,72,6,BRANCH,N,SMS
350006,0,1,G,F,32,N,72,67,5,MYVIB,Y,SMART_OTP
952655,0,1,G,M,32,N,65,62,3,BRANCH,Y,SMART_OTP
741713,0,1,G,F,30,N,65,65,0,BRANCH,Y,SMART_OTP
646408,0,1,G,F,25,N,64,62,2,BRANCH,Y,SMART_OTP
399149,0,1,G,F,22,N,68,45,23,MYVIB,N,SMS
434484,0,1,G,F,37,N,67,65,2,BRANCH,N,SMS
682510,0,1,G,M,18,N,46,46,0,BRANCH,N,SMART_OTP
151927,0,1,G,F,23,N,45,34,11,BRANCH,N,SMART_OTP
200898,0,1,G,M,29,N,31,31,0,BRANCH,N,SMS
101420,0,1,G,M,29,N,6,6,0,BRANCH,Y,SMART_OTP
643597,0,1,G,M,35,Y,6,6,0,BRANCH,Y,SMS
140264,0,1,G,F,19,N,6,6,0,BRANCH,Y,SMART_OTP
327106,0,1,G,F,23,N,68,68,0,BRANCH,Y,SMS
156158,0,1,G,F,18,N,68,68,0,BRANCH,Y,SMART_OTP
898040,0,1,G,M,40,N,61,61,0,BRANCH,Y,SMART_OTP
401631,0,1,G,M,34,N,59,59,0,BRANCH,Y,SMART_OTP
611281,0,1,G,F,30,N,59,59,0,BRANCH,N,SMART_OTP
826415,1,0,B,M,61,N,47,47,0,BRANCH,N,SMS
540627,0,1,G,F,23,N,33,33,0,BRANCH,N,SMS
351152,0,1,G,M,22,N,30,30,0,BRANCH,Y,SMS
678650,0,1,G,F,19,N,27,27,0,BRANCH,N,SMART_OTP
680111,0,1,G,M,25,N,12,4,8,BRANCH,Y,SMART_OTP
405039,1,0,B,F,36,N,43,43,0,BRANCH,N,SMS
997938,0,1,G,M,27,N,39,37,2,BRANCH,Y,SMART_OTP
184470,0,1,G,M,40,N,32,32,0,BRANCH,Y,SMART_OTP
501466,1,0,B,M,29,N,83,83,0,BRANCH,Y,SMS
925791,0,1,G,M,46,N,83,83,0,BRANCH,N,SMS
4006,0,1,G,M,33,N,74,43,31,MYVIB,Y,SMS
292440,0,1,G,F,35,N,65,46,19,BRANCH,Y,SMS
206833,1,0,B,M,26,N,57,57,0,BRANCH,Y,SMART_OTP
568611,0,1,G,F,22,N,48,27,21,BRANCH,Y,SMART_OTP
732082,0,1,G,M,33,N,24,24,0,BRANCH,Y,SMART_OTP
339527,1,0,B,F,38,N,65,64,1,BRANCH,Y,SMART_OTP
160696,0,1,G,F,37,N,62,62,0,BRANCH,N,SMART_OTP
3440,0,1,G,F,25,N,45,31,14,BRANCH,Y,SMS
372082,0,1,G,M,29,N,38,38,0,BRANCH,N,SMART_OTP
181080,0,1,G,M,41,N,30,30,0,BRANCH,N,SMART_OTP
607411,0,1,G,F,35,N,25,25,0,BRANCH,Y,SMART_OTP
286706,0,1,G,M,32,N,18,18,0,BRANCH,Y,SMART_OTP
213877,0,1,G,M,24,N,8,8,0,BRANCH,N,SMART_OTP
429306,0,1,G,F,25,N,6,5,1,BRANCH,Y,SMART_OTP
93381,1,0,B,M,29,N,61,61,0,BRANCH,Y,SMS
721949,0,1,G,F,22,N,61,31,30,MYVIB,N,SMS
846406,1,0,B,F,34,N,58,41,17,BRANCH,N,SMS
400403,0,1,G,M,32,N,33,29,4,BRANCH,Y,SMS
736445,0,1,G,M,43,N,29,29,0,BRANCH,N,SMS
562106,0,1,G,F,30,N,12,5,7,BRANCH,Y,SMART_OTP
76339,0,1,G,M,33,N,11,11,0,BRANCH,N,SMART_OTP
20047,0,1,G,M,27,Y,11,10,1,BRANCH,Y,SMART_OTP
497993,0,1,G,M,23,N,10,10,0,BRANCH,Y,SMART_OTP
402652,0,1,G,M,43,N,9,4,5,BRANCH,N,SMS
125279,0,1,G,M,25,Y,44,44,0,BRANCH,Y,SMART_OTP
266201,0,1,G,F,41,N,41,41,0,BRANCH,Y,SMART_OTP
